TRUE,93,
FALSE,7,
,,
SyS_setuid,<0,T
smbalert_probe,<0,T
nfs4_reclaim_lease,<0,T
pkcs12_pbe_derive_key_iv,<0,T
EVP_DigestVerify,<0,T
netlbl_calipso_list,<0,T
ext4_dir_llseek,<0,T
add_grec,==0,T
bdi_alloc,==0,T
btrfs_ioctl_scrub,<0,T
compat_process_vm_rw,<0,T
sync_slaves,<0,T
seq_create_client1,==0,T
ata_scsi_slave_config,<0,T
skcipher_walk_async,<0,T
read_mapping_page,==0,T
hdmi_chmap_ctl_tlv,<0,T
acpi_os_allocate_zeroed,==0,T
trace_event_define_fields_rdev_set_cqm_txe_config,<0,T
consoles_open,<0,T
swap_duplicate,<0,T
kzalloc,==0,T
nfc_genl_se_transaction,<0,T
do_writepages,<0,T
jbd2_journal_wipe,<0,T
autofs4_get_inode,==0,T
nfs_access_get_cached,<0,T
blk_trace_setup,<0,T
unix_seq_open,<0,T
kobject_uevent_init,<0,T
acpi_config_boot_ec,==0,F
trace_event_define_fields_writeback_write_inode_template,<0,T
sb_bread,==0,T
BN_div_recp,==0,T
search_dirblock,<0,T
__inet_inherit_port,<0,T
nr_overcommit_hugepages_store,<0,T
ip6_route_init,<0,T
proc_pid_cmdline_read,<0,T
empty_dir_llseek,<0,T
ipv6_hooks_register,<0,T
acpi_ds_build_internal_buffer_obj,>0,T
get_new_element,==0,T
PKCS7_add_signature,==0,T
__read_vmcore,<0,T
acpi_ds_exec_end_control_op,>0,T
remap_pmd_range,<0,T
__do_sys_pkey_mprotect,<0,T
nfs_sync_inode,<0,T
trace_event_define_fields_rpm_internal,<0,T
OBJ_add_sigid,==0,T
__do_sys_open_by_handle_at,<0,T
parse_csr_fw,==0,T
__do_sys_move_pages,<0,T
splice_pipe_to_pipe,<0,T
kzalloc_node,==0,T
icmp_kmemdup_sysctl_table,<0,T
iommu_init_pci,<0,T
autofs_prepare_pipe,<0,T
shmem_listxattr,<0,T
cipso_v4_skbuff_setattr,<0,T
btrfs_alloc_path,==0,T
kmalloc_array,==0,T
i2o_SCT,<0,T
finish_range,<0,T
__es_insert_extent,<0,T
trace_event_define_fields_drv_wake_tx_queue,<0,T
__se_compat_sys_set_mempolicy,<0,T
acpi_bus_update_power,<=0,F
i915_debugfs_register,<0,T
filemap_fdatawrite,<0,T
__ia32_sys_writev,<=0,F
udp_sendmsg,<0,T
__ia32_compat_sys_ustat,<0,T
st_nci_manufacturer_specific,<0,T
__hda_codec_driver_register,<0,T
tce_table_setparms,<0,T
st21nfca_hci_im_transceive,<0,F
update_cipher_list_by_id,==0,T
nlm4svc_proc_lock_msg,>0,T
btrfs_find_create_tree_block,==0,T
i2d_re_X509_CRL_tbs,<=0,T
btrfs_read_fs_root,==0,T
ext4_link,<=0,T
dma_fence_array_create,==0,T
PKCS7_sign_add_signer,==0,T
sel_netport_sid,<0,T
ethtool_get_eeprom,<0,T
compat_drm_agp_enable,<0,T
st21nfca_get_iso14443_3_atqa,<0,T
__skb_cow,<0,T
tls_construct_stoc_cookie,==0,T
mbedtls_x509write_csr_pem,<0,T
TS_RESP_verify_response,>0,F
decode_getfattr_attrs,<=0,F
snd_timer_user_tselect,<0,T
__x64_sys_read,<0,T
process_vm_rw_single_vec,<0,T
__ia32_compat_sys_mbind,<0,T
ahci_host_activate_multi_irqs,<=0,F